"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Avalanche,"Avalanche is a high yielding early maincrop variety, even sized tubers that set deep, with no greening. Tubers are attractive, round-oval, white skin white flesh, shallow eyes; good resistance to common scab, leaf roll, splitting and bruising; long dormancy, excellent storage. Drought resistant, Avalanche grows well in hot climates. Susceptible to late blight on tubers, powdery scab, potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potao cyst nematode <i> Globodera pallida</i> Pa2/3,1.","DHS 70 1034 9 x Maris Piper",1,-,-,-,-,-,-,-,-,-,-,-,"Jonquil Development Limited","168 Seapark",,Malahide,"County Dublin",,IRELAND,info@spud.ie,www.spud.ie,"+353 87 2556246; +353 1 8450666","+353 1 8450528",2020,Oval,White,White,Shallow,Smooth,Pink,"Early Maincrop",-,"Red violet",Absent,7,7,4,-,-,-,5,2,2,5,2,-,-,-,-,-,3,3,4,-,-,-,-
Avondale,"Avondale has good resistant to foliage and tuber blight, common scab, potato cyst nematode <i> Globodera rostochiensis</i> Ro1.  A good potato for dishes where boiling, baking or home-prepared French fries are required.  Susceptible to powdery scab. ","Ulster Glade x A25/19",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,White,Cream,Shallow,Medium,Pink,Maincrop,Tall,White,Few,-,-,-,-,-,-,-,-,9,7,6,-,-,-,-,-,3,7,7,-,-,-,-
Axona,"This SÃ¡rpo variety has resistance to virus Yo, leafroll, foliage late blight, black dot and silver scurf.  There is some resistance to dry rot (<i>F. coeruleum</i>) and blackleg.  Axona is susceptible to Dry rot (<i> Fusarium Sulphureum</i>), potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida</i> Pa2/3,1  Plants have high vigour and suppress weeds efficiently.  Tubers show long dormancy in ambient store. Tubers have a pronounced potato taste.","76 PO 12 14 268 x D187",1,"SÃ¡rvÃ¡ri Research Trust","Siambra Gwynion Llandygai",,Bangor,,"LL57 4BG","UNITED KINGDOM",info@sarvari-trust.org,www.sarvari-trust.org,"+44 (0)1248 364260","+44 (0)1248 681730",-,-,-,-,-,-,-,-,-,-,-,2034,"Oval - long",Red,Cream,Medium,Smooth,Pink,Maincrop,Medium,"Red violet",Few,5,4,8,-,-,-,8,2,2,4,6,1,6,4,7,7,5,5,7,-,-,-,-
Ballydoon,"Ballydoon is a  early variety first marketed around 1931.  It was bred in Ayrshire by Mr John Watson.  It produces a moderate yield of oval, white-skinned tubers with a white flesh. Shows low resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  ","Herald x British Queen",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Cream,White,"Very shallow - shallow",-,Pink,"First Early",-,White,Medium,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balmoral,"Balmoral is a high yielding variety with low outgrade levels.  Long oval tubers, parti-coloured skin with cream flesh and distinct pink eyes.  Good resistance to common scab.  Susceptible to late blight on foliage, potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.","Ulster Dale x OP3211/6",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,2021,"Oval - long","Red parti-coloured","Light yellow","Very shallow - shallow",Smooth,Pink,"Second Early",-,White,Few,3,4,3,-,-,-,5,2,2,7,5,-,-,-,-,-,5,4,3,-,-,-,-
Bambino,"Tubers have poor  resistance to splitting and some  resistance to bruising.Â Â Trials have found good resistance powdery scab..Â Â This variety has low resistance to silver scurf.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Navan x Boxer",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",-,"Short - oval",White,Cream,"Shallow - medium",Smooth,Absent,Maincrop,Medium,-,Absent,5,2,4,-,-,-,4,2,9,6,-,-,-,6,2,5,8,5,4,-,-,-,-
Banba,"Very high yielding variety.  Banba produces a high percentage of large long-oval tubers.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and good resistance to common scab, drought and mechanical damage. Susceptible to blackleg and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  It shows very good storage capability.","Slaney x Estima",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2031,"Oval - long",Yellow,"Light yellow",Shallow,Medium,Pink,"Early Maincrop","Medium - tall",White,Medium,-,-,-,-,-,-,-,2,9,7,2,-,-,-,-,-,6,5,5,-,-,-,-
Barna,"Excellent robust variety suitable for diverse cooking uses including French fries.  It has very good storage qualities and has resistance to diseases such as tuber late blight, blackleg.  Susceptible to powdery scab, potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i>.","Desiree x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,"Oval - long",Red,White,Shallow,Smooth,Violet,Maincrop,Tall,"Red violet",Few,6,5,5,-,-,-,4,2,2,6,7,-,-,-,-,-,3,7,4,-,-,-,-
"Belle De Fontenay","Belle de Fontenay is an old French salad variety from around 1885. It is a maincrop producing long, yellow-skinned tubers with light yellow flesh. Tubers are waxy with a fine taste. Susceptible to potato cyst nematodes <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.",-,1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Long,Cream,"Light yellow",Shallow,Smooth,Blue,"First Early",-,"Blue violet",Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Betty,"Early crisping variety","Pike x Jenny",,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2044,"Short - oval",Yellow,White,Shallow,Medium,-,"Second Early",-,-,-,6,-,5,8,-,-,-,1,9,6,-,-,-,-,-,-,-,5,4,Medium,-,-,-
"Blue Belle","Tubers have some  resistance to splitting.Â Â Trials have found good resistance to potato virus Yo.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) and potato leafroll virus.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1, blackleg, black dot and late blight on tubers.","Sylvia x Cara",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2037,Oval,"Blue parti-coloured","Medium yellow","Shallow - medium",Smooth,Blue,Maincrop,"Medium - tall","Blue violet",Many,3,5,9,-,-,-,2,2,3,4,3,1,5,5,5,3,5,3,4,-,-,-,-
"Blue Danube","Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to blackleg, skin spot, potato virus Yo , dry rot (<i>Fusarium coeruleum</i>) and potato leafroll virus.Â Â This variety has low resistance to dry rot caused by <i> Fusarium sulphureum</i>.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1. Susceptible to silver scurf and common scab.","78.139.25 x VK.69.491 ",1,"SÃ¡rvÃ¡ri Research Trust","Siambra Gwynion Llandygai",,Bangor,,"LL57 4BG","UNITED KINGDOM",info@sarvari-trust.org,www.sarvari-trust.org,"+44 (0)1248 364260","+44 (0)1248 681730",-,-,-,-,-,-,-,-,-,-,-,2039,Oval,Blue,White,Medium,Medium,Blue,Maincrop,Tall,Violet,-,6,5,8,-,-,-,9,3,9,3,7,1,9,8,3,6,6,4,4,-,-,-,-
"Bonnata KWS","Bonnata is for the table market, has very excellent skin finish and taste. Produces a high tuber number with even tuber shape.
","Bemadette x RZ 95-6643",,"Stet Holland","Produktieweg 2a",,Emmeloord,,"8304 AV",NETHERLANDS,,,,,"Stet Potato Ltd","12 Vincent Court","Turnstone Road, Teal Park",Lincoln,,"LN6 3AE","UNITED KINGDOM",peter.hewett@stet-potato.com,http://www.stet-potato.com/en/,07788311967,,-,Oval,Cream,Cream,Shallow,Smooth,-,"Early Maincrop",Medium,-,Few,7,-,-,-,-,-,-,1,1,6,-,-,-,-,-,-,-,6,7,-,20%,"Group 3",Smooth
Bonnie,"Early production of bold even sized tubers.  Bright skin finish with red splash.  Suitable for pre-pack and export markets.  Bakes well with good taste-test results.  Good resistance to silver scurf, skin spot, blackleg and potato cyst nematode <i> Globodera rostochiensis</i> Ro1.  Good dormancy.  Susceptible to tuber late blight, powdery scab, potato cyst nematode <i> Globodera pallida </i> Pa2/3,1, potato virus Yo and spliiting.","Estima x 83N28-47",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2036,"Short - oval","Red parti-coloured",Cream,Shallow,Smooth,Pink,"Second Early",Medium,White,Few,4,3,1,-,-,-,4,2,9,4,7,-,-,6,7,6,4,3,4,-,-,-,-
Bounty,"Tubers have good  resistance to black dot, dry rot (<i>Fusarium coeruleum</i>), bruising and splitting.Â Â Trials have found good resistance to potato virus Yo.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1. Susceptible to Dry rot <i> Fusarium sulphureum</i> and potato leafroll virus.","85G040-080 x Valor ",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2039,Oval,White,Cream,"Very shallow - shallow",Smooth,Pink,"Early Maincrop",Medium,"Red violet",-,7,7,7,-,-,-,3,2,9,5,6,3,8,5,5,7,5,5,5,-,-,-,-
Bremner,"Tubers have good resistance to splitting and some resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>F. coeruleum</i>).Â This variety has low resistance to dry rot (<i>F. sulphureum</i>).Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Remarka x Mondial",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",-,-,-,-,-,-,-,-,-,-,-,-,Oval,White,White,Shallow,-,Pink,"Early Maincrop",Medium,White,Few,5,6,-,-,-,-,6,3,3,6,6,2,8,6,7,6,5,6,5,-,-,-,-
"Bricata KWS","Bricata is for the French fry and processing market, it produces good tuber numbers with very even tuber shape and stable dry matters. Has good resistance to common scab and TRV.
","Opal x VR808",,"Stet Holland","Produktieweg 2a",,Emmeloord,,"8304 AV",NETHERLANDS,,,,,"Stet Potato Ltd","12 Vincent Court","Turnstone Road, Teal Park",Lincoln,,"LN6 3AE","UNITED KINGDOM",peter.hewett@stet-potato.com,http://www.stet-potato.com/en/,07788311967,,-,"Oval - long",Cream,White,Shallow,Smooth,-,"Early Maincrop",-,-,Few,7,-,9,-,-,-,-,1,9,7,-,-,-,-,-,-,-,-,6,Medium,21%,-,-
"British Queen","British Queen was bred by the Scottish breeder Archibald Finlay in Lincolnshire and  first marketed in 1894. The variety is still popular in Ireland where it is sold as 'Queens'. British Queen is second early variety producing a moderate to high yield of white-skinned, oval tubers with a white, floury flesh. Low resistance to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.","Patersons Victoria x Old Blue Don",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",Cream,Cream,"Shallow - medium",Medium,Pink,"Second Early",-,White,Few,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brooke,"Tubers have some  susceptibilty to bruising and splitting.Â Â Trials have found good resistance to blackleg, dry rot (<i>Fusarium coeruleum</i>) and potato leafroll virusÂ Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>)  and late blight on tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.  This variety also has susceptibility to Bruising and Splitting. ","FL 1867 x Hermes",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2038,Round,Yellow,"Medium yellow",Shallow,-,Pink,"Early Maincrop",Medium,-,Absent,3,3,4,-,-,-,6,2,9,5,7,2,6,-,-,-,5,2,5,-,-,-,-
Burren,"Great variety for Mediterranean-type climates.  Burren is a long-oval potato with shallow eyes, good drought resistance and good storage capability.  It is very high yielding and produces larger crops compared with Spunta.  This variety has susceptibilty to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  Test show resistance to Potato leafroll virus and potato virus Yo.","Marfona x Spunta",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2023,"Oval - long",Cream,"Medium yellow",Shallow,Medium,Violet,"Early Maincrop","Medium - tall",White,Medium,-,-,7,-,-,-,8,2,2,6,5,-,-,-,-,-,4,4,4,-,-,-,-
Bute,"Tubers have some resistance to bruising and splitting.Â Â Trials have found good resistance to powdery scab, dry rots <i>Fusarium sulphureum</i> and <i>Fusarium coeruleum</i>, mop top (spraing) and potato virus AÂ Â This variety has low resistance to tuber late blight, potato virus yn, potato leafroll virus and potato virus Yo .Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Harmony x 17AVN01",1,"Zella J. Doig",Cavilston,"Old Fargie",Glenfarg,Perth,"PH29 9QF","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,2043,"Short - oval",White,White,Shallow,-,Pink,"Early Maincrop",Medium,"Red violet",-,6,6,2,1,9,-,2,2,8,4,6,8,8,6,6,5,7,3,5,-,-,-,-
Cabaret,"Suitable for the pre-pack, French fry and chipping markets.  Dry matter 21%.  Produces high yields of bright bold tubers with shallow eyes. Long dormancy gives good long-term storability with stable fry colours. Susceptible to Dry rot <i> Fusarium sulphureum</i>, late blight on foliage, potato cyst nematode <i> Globodera pallida </i> Pa2/3,1 and potato virus Yo. Shows resistance to enzymic browning, gangrene, Black dot, Blackleg and resistance to potato cyst nematode <i> Globodera Rostochiensis </i> Ro1. ","Morag x Maris Piper",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2031,"Oval - long",White,Cream,Shallow,Smooth,Pink,"Early Maincrop",Medium,"Red violet",Absent,6,6,3,-,-,-,3,2,9,4,7,3,6,5,4,8,5,4,3,-,-,-,-
Caesar,"Tubers have good  resistance to bruising and splitting. Trials have found good resistance to powdery scab, potato leafroll virus and potato virus Yo .  Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Mona Lisa x ROP B1178",1,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99","HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",2023,"Oval - long",Cream,"Light yellow","Very shallow - shallow",Smooth,Pink,Maincrop,Medium,White,Medium,7,7,8,-,-,-,7,2,9,5,4,-,-,-,-,-,7,3,5,-,-,-,-
Camel,"Suitable for the pre-pack market and general ware, with good eating quality, produces even oval, deep red tubers with a cream flesh. It is resistant and tolerant to Ro1 and Pa2/3 PCN.
","Rosara x RZ-97-6139",,"Stet Holland","Produktieweg 2a",,Emmeloord,,"8304 AV",NETHERLANDS,,,,,"Stet Potato Ltd","12 Vincent Court","Turnstone Road, Teal Park",Lincoln,,"LN6 3AE","UNITED KINGDOM",peter.hewett@stet-potato.com,http://www.stet-potato.com/en/,07788311967,,-,Oval,Red,Cream,Shallow,Smooth,-,"Early Maincrop",Medium,-,Few,8,-,-,-,-,-,6,9,9,6,-,-,-,-,-,-,-,6,5,Long,19%,"Group 3",-
Camelot,"Very attractive parti-coloured variety with smooth skin and white tuber flesh colour.   Culinary use is suited to boiling and steaming due to its slightly mealy texture. .  Camelot is shows resistance to common scab and shows good resistance to drought. Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1.","Malin x Picasso",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,"Red parti-coloured",White,Shallow,Smooth,Absent,"Early Maincrop",Medium,White,Medium,-,-,-,-,-,-,-,-,9,8,-,-,-,-,-,-,6,6,4,-,-,-,-
Cammeo,,"Caesar x Mondial",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oval,White,"Light yellow",Shallow,-,Violet,"Early Maincrop",-,-,-,6,2,-,-,-,5,-,2,2,5,5,1,6,6,5,4,1,4,5,-,-,-,-
Captain,"High yielding early prep-pack/baker.","INRA 95T97.2 x G98SC184008",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2045,"Short - oval",Yellow,"Light yellow",Shallow,Smooth,-,"Early Maincrop",-,White,-,5,3,-,-,-,8,-,2,8,4,2,1,6,9,7,4,6,2,3,Long,17%,-,Smooth
